"id_curso";"nome";"id_coordenador";"coordenador";"situacao_curso";"nivel_ensino";"grau_academico";"modalidade_educacao";"area_conhecimento";"tipo_oferta";"turno";"tipo_ciclo_formacao";"municipio";"campus";"id_unidade_responsavel";"unidade_responsavel";"website";"data_funcionamento";"codigo_inep";"dou";"portaria_reconhecimento";"convenio_academico"
"2000002";"ADMINISTRAÇÃO";"";"";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Matutino e Noturno";"Um ciclo";"NATAL";"Campus Central";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"http://sol.ccsa.ufrn.br/ccsa/areas/adm/administracao";"1971-09-16";"12311";"2017-04-04";"Portaria nº 272/2017 - MEC";""
"2000004";"ADMINISTRAÇÃO";"24415";"ANDREA CRISTINA SANTOS DE JESUS";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Vespertino e Noturno";"Um ciclo";"CURRAIS NOVOS";"Campus Currais Novos";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"";"1978-09-15";"12355";"2017-04-04";"Portaria nº 272/2017 - MEC";""
"92724368";"ADMINISTRAÇÃO HOSPITALAR E SISTEMAS DE SAÚDE";"24896";"GABRIEL MARTINS DE ARAUJO FILHO";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"161";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"";"";"";"";"";""
"126907290";"ADMINISTRAÇÃO HOTELEIRA, BARES E RESTAURANTES";"5752271";"FRANCISCO FRANSUALDO DE AZEVEDO";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"4295";"PROGRAMA DE PÓS-GRADUAÇÃO EM TURISMO";"";"";"";"";"";""
"15315770";"ADMINISTRAÇÃO PÚBLICA";"23122";"MATILDE MEDEIROS DE ARAÚJO";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"A Distância";"Ciências Sociais Aplicadas";"Regular";"";"Um ciclo";"NATAL";"";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"";"";"1151028";"2014-04-11";"Portaria nº 226/2014 - DIREG/MEC";""
"126255120";"AEE: APRENDIZAGEM COLABORATIVA E INTERCULTURAL DE LÍNGUA PORTUGUESA POR SURDOS";"5758765";"RONNY DIOGENES DE MENEZES";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"4880";"DEPARTAMENTO DE EDUCAÇÃO - CERES";"";"";"";"";"";""
"2576632";"AGRONOMIA";"5758350";"JOSE HAMILTON DA COSTA FILHO";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Agrárias";"Regular";"";"Um ciclo";"MACAÍBA";"";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"";"";"1127694";"2017-07-28";"Portaria Nº 797/2017 - MEC";""
"106245618";"ALFABETIZAÇÃO E NEUROCIÊNCIAS: INTERFACES NA EDUCAÇÃO INTEGRAL";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"4880";"DEPARTAMENTO DE EDUCAÇÃO - CERES";"";"";"";"";"";""
"127791717";"ALFABETIZAÇÃO + NEUROCIÊNCIAS: INTERFACES NA EDUCAÇÃO INTEGRAL";"127199";"ANGELA MARIA CHUVAS NASCHOLD";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"4880";"DEPARTAMENTO DE EDUCAÇÃO - CERES";"";"";"";"";"";""
"4742984";"ANÁLISE CLÍNICAS E TOXICOLÓGICAS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"";"";"";""
